#,Punktsymbolname,Liste der 'alten' Punktsymbole,Nr.,Offset(15*15),Offset (23*23),Offset (32*32),Index in Bitmap
1,Allgemeine Symbole,,,,,,
,"Fahrleitungsmast, Holz",,89,"2,1","3,0","4,0",138
,"Fahrleitungsmast, Kunststoff","199,205",90,"2,1","3,0","4,0",139
,"Fahrleitungsmast, Beton",,91,"2,1","3,0","4,0",140
,"Fahrleitungsmast, Stahlrohr",,92,"2,1","3,0","4,0",141
,"Fahrleitungsmast, Stahlgitter","200,202",93,"2,1","3,0","4,0",142
,"Fahrleitungsmast, Stahlgitter","201,203",94,"2,1","1,0","1,0",143
,Antenne,210,95,"1,0","1,1","0,0",144
3,,,Kräne,,,,
,"Kran, feststehend",,96,"3,1","4,1","3,0",47
,"Kran, fahrbar",148,97,"3,1","4,1","3,0",48
3,,,Becken/Behälter,,,,
,"Wasserbehälter, offen",66,98,"2,2","2,2","0,0",49
,"Wasserbehälter, bedeckt",,99,"2,2","2,2","0,0",50
,Brunnen,15,100,"2,2","1,1","0,0",51
3,,,Schächte,,,,
,Schacht,"173,231",101,"1,1","1,1","0,0",145
,Gully,175,102,"2,2","1,1","0,0",146
,Lüftungsschacht,174,103,"2,2","1,1","0,0",147
3,,,Leuchten,,,,
,"Mastaufsatzleuchte (1), Holzmast",,104,"5,1","6,0","9,0",148
,"Mastaufsatzleuchte (1), Kunststoffmast",,105,"5,1","6,0","9,0",149
,"Mastaufsatzleuchte (1), Betonmast",229,106,"5,1","6,0","9,0",150
,"Mastaufsatzleuchte (1), Stahlrohrmast",176,107,"5,1","6,0","9,0",151
,"Mastaufsatzleuchte (1), Stahlgittermast",196,108,"5,1","6,0","9,0",152
,"Peitschenleuchte (1), Holzmast",,109,"3,1","3,0","4,0",153
,"Peitschenleuchte (1), Kunststoffmast",,110,"3,1","3,0","4,0",154
,"Peitschenleuchte (1), Betonmast",230,111,"3,1","3,0","4,0",155
,"Peitschenleuchte (1), Stahlrohrmast",,112,"3,1","3,0","4,0",156
,"Peitschenleuchte (1), Stahlgittermast",,113,"3,1","3,0","4,0",157
,"Peitschenleuchte (2), Holzmast",,114,"1,1","0,0","0,0",158
,"Peitschenleuchte (2), Kunststoffmast",,115,"1,1","0,0","0,0",159
,"Peitschenleuchte (2), Betonmast","198,228",116,"1,1","0,0","0,0",160
,"Peitschenleuchte (2), Stahlrohrmast",,117,"1,1","0,0","0,0",161
,"Peitschenleuchte (2), Stahlgittermast",,118,"1,1","0,0","0,0",162
3,,,Einrichtungen der Gasversorgung,,,,
,Gasometer,30,119,"3,3","2,2","0,0",32
3,,,Einrichtungen der Wasserversorgung,,,,
,Absperrschieber,171,120,"2,2","0,0","0,0",163
,Hydrant,181,121,"2,2","2,1","1,0",164
3,,,Rufeinrichtungen,,,,
,Feuermelder,182,122,"2,2","1,1","0,0",165
3,,,Fördereinrichtungen,,,,
,Band/Rohrbrücke,211,123,"1,2","1,2","0,2",166
3,,,Sonstige Versorgungs-/Betriebsanlage,,,,
,"Fundament, eckig",178,124,"2,2","1,1","0,0",168
,"Fundament, rund",172,125,"2,2","1,1","0,0",169
,Pumpe,232,126,"4,2","5,0","5,0",170
