165; 1.000, 1.000, 1.000
166; 1.182, 1.105, 1.143
167; 1.000, 0.826, 0.875
168; 1.000, 1.000, 1.000
169; 1.000, 1.000, 1.000
170; 0.636, 0.565, 0.688
171; 1.182, 1.211, 1.067
172; 1.857, 1.533, 1.600
173; 0.692, 0.810, 0.688
174; 0.846, 1.000, 1.000
175; 0.538, 0.619, 0.750
176; 0.846, 0.810, 0.875
177; 0.692, 0.714, 0.813
178; 0.692, 0.714, 0.813
179; 1.000, 1.000, 1.000
180; 0.636, 0.565, 0.500
181; 0.538, 0.565, 0.500
182; 0.538, 0.619, 0.625
183; 1.000, 1.000, 1.000
184; 0.600, 0.826, 0.933
185; 0.867, 0.826, 1.067
187; 0.538, 0.478, 0.438
