Haltung                   |Profilart                 |Gefälle    |
51601-6-003               |Kreis                     |105,992825 |
51601-7-003               |Kreis                     |84,0732424 |
51601-1-003               |Kreis                     |31,7319012 |
51601-8-003               |Kreis                     |29,6259937 |
51601-4-003               |Kreis                     |129,615833 |
51601-5-003               |Kreis                     |72,0271505 |
51601-3-003               |Kreis                     |5,33168846 |
Summe:
0                         |0                         |458,398635 |
